iter	Passed	Remaining
0	133	13244
1	135	6625
2	136	4410
3	137	3291
4	138	2624
5	139	2178
6	139	1859
7	140	1620
8	144	1458
9	145	1308
10	146	1185
11	147	1082
12	148	994
13	149	918
14	150	852
15	151	793
16	152	742
17	152	696
18	153	656
19	154	619
20	155	585
21	157	558
22	158	532
23	159	506
24	160	482
25	161	460
26	162	439
27	163	421
28	164	403
29	165	386
30	166	370
31	167	355
32	168	341
33	169	329
34	170	316
35	172	306
36	173	295
37	174	284
38	175	274
39	176	265
40	177	256
41	178	246
42	179	237
43	180	229
44	181	221
45	182	214
46	183	207
47	184	199
48	185	193
49	187	187
50	188	181
51	189	175
52	191	169
53	192	163
54	192	157
55	193	152
56	194	147
57	196	142
58	197	136
59	197	131
60	198	127
61	199	122
62	202	118
63	203	114
64	204	110
65	205	106
66	206	101
67	207	97
68	209	93
69	209	89
70	210	86
71	211	82
72	212	78
73	213	74
74	214	71
75	216	68
76	218	65
77	219	61
78	220	58
79	221	55
80	222	52
81	223	48
82	223	45
83	224	42
84	225	39
85	226	36
86	227	34
87	228	31
88	231	28
89	233	25
90	234	23
91	235	20
92	236	17
93	237	15
94	237	12
95	238	9
96	239	7
97	240	4
98	241	2
99	242	0
