iter	Passed	Remaining
0	164	164341
1	168	84102
2	172	57399
3	180	44862
4	184	36715
5	188	31239
6	192	27374
7	197	24435
8	201	22153
9	204	20286
10	209	18817
11	213	17585
12	217	16539
13	222	15646
14	226	14899
15	230	14190
16	234	13561
17	239	13091
18	243	12588
19	247	12119
20	249	11650
21	254	11292
22	256	10897
23	258	10505
24	260	10140
25	261	9803
26	263	9491
27	264	9196
28	266	8931
29	268	8695
30	270	8457
31	272	8228
32	273	8012
33	274	7808
34	276	7613
35	277	7434
36	279	7263
37	281	7115
38	282	6967
39	284	6821
40	285	6683
41	287	6548
42	288	6419
43	289	6297
44	291	6179
45	292	6068
46	293	5956
47	295	5857
48	296	5762
49	298	5666
50	299	5574
51	300	5484
52	302	5398
53	303	5314
54	304	5233
55	305	5156
56	307	5083
57	308	5015
58	310	4951
59	311	4887
60	313	4822
61	314	4757
62	315	4696
63	317	4636
64	318	4578
65	319	4522
66	320	4469
67	322	4415
68	323	4362
69	324	4314
70	326	4268
71	327	4217
72	328	4170
73	329	4123
74	330	4078
75	332	4036
76	333	3995
77	334	3958
78	336	3921
79	337	3886
80	339	3852
81	341	3822
82	342	3781
83	343	3748
84	345	3714
85	346	3681
86	347	3648
87	349	3618
88	350	3587
89	351	3555
90	352	3524
91	354	3496
92	355	3467
93	356	3440
94	358	3412
95	359	3384
96	360	3356
97	361	3329
98	363	3304
99	364	3281
100	366	3258
101	367	3236
102	369	3217
103	371	3197
104	372	3178
105	374	3155
106	375	3134
107	376	3113
108	378	3093
109	379	3073
110	381	3054
111	382	3033
112	384	3015
113	385	2998
114	387	2979
115	388	2960
116	389	2941
117	391	2924
118	392	2906
119	393	2889
120	395	2872
121	396	2852
122	397	2834
123	400	2826
124	401	2812
125	403	2797
126	404	2779
127	405	2764
128	407	2749
129	408	2734
130	410	2719
131	411	2705
132	412	2690
133	414	2679
134	416	2665
135	417	2654
136	419	2643
137	421	2635
138	423	2623
139	424	2610
140	426	2596
141	427	2581
142	430	2577
143	431	2567
144	433	2557
145	435	2545
146	436	2533
147	437	2521
148	439	2509
149	440	2497
150	442	2485
151	443	2476
152	446	2469
153	447	2458
154	448	2447
155	450	2437
156	452	2427
157	453	2417
158	455	2407
159	456	2398
160	457	2385
161	459	2377
162	461	2369
163	462	2360
164	464	2350
165	465	2340
166	467	2331
167	468	2321
168	470	2312
169	471	2303
170	473	2294
171	475	2287
172	476	2279
173	478	2270
174	479	2262
175	481	2252
176	482	2244
177	484	2235
178	485	2226
179	486	2218
180	488	2211
181	490	2204
182	492	2196
183	493	2188
184	494	2180
185	496	2171
186	497	2163
187	499	2155
188	500	2148
189	502	2141
190	504	2136
191	506	2129
192	507	2121
193	508	2113
194	509	2104
195	510	2095
196	512	2087
197	513	2078
198	514	2070
199	515	2061
200	516	2054
201	518	2047
202	519	2040
203	521	2033
204	522	2025
205	523	2017
206	524	2009
207	525	2001
208	526	1992
209	527	1984
210	528	1976
211	529	1969
212	530	1961
213	531	1953
214	533	1947
215	535	1943
216	537	1938
217	538	1931
218	539	1923
219	540	1916
220	541	1909
221	543	1903
222	544	1897
223	545	1891
224	547	1886
225	549	1880
226	550	1874
227	551	1868
228	553	1861
229	554	1855
230	555	1848
231	556	1842
232	557	1836
233	559	1830
234	560	1824
235	561	1818
236	562	1812
237	564	1806
238	565	1800
239	566	1794
240	567	1788
241	568	1782
242	570	1775
243	571	1769
244	572	1764
245	573	1758
246	575	1753
247	578	1753
248	579	1749
249	581	1744
250	582	1738
251	583	1733
252	585	1727
253	586	1722
254	588	1719
255	589	1714
256	591	1710
257	593	1706
258	595	1702
259	596	1699
260	598	1694
261	600	1690
262	601	1686
263	603	1681
264	604	1676
265	608	1678
266	609	1673
267	611	1669
268	612	1665
269	614	1662
270	615	1656
271	616	1651
272	618	1645
273	619	1640
274	620	1635
275	622	1633
276	624	1629
277	625	1624
278	626	1620
279	628	1615
280	629	1610
281	630	1605
282	631	1600
283	632	1595
284	633	1590
285	635	1585
286	637	1583
287	638	1579
288	640	1575
289	641	1570
290	642	1566
291	644	1561
292	645	1557
293	646	1553
294	647	1548
295	649	1543
296	650	1539
297	651	1535
298	653	1531
299	654	1527
300	656	1523
301	657	1519
302	658	1514
303	659	1509
304	660	1505
305	661	1500
306	662	1495
307	663	1491
308	664	1486
309	666	1482
310	667	1479
311	669	1475
312	670	1471
313	671	1466
314	672	1462
315	673	1458
316	674	1453
317	675	1449
318	676	1444
319	677	1440
320	678	1435
321	680	1431
322	681	1428
323	682	1424
324	683	1420
325	685	1416
326	686	1412
327	687	1408
328	688	1403
329	689	1399
330	690	1395
331	691	1391
332	692	1387
333	693	1383
334	694	1379
335	696	1376
336	697	1372
337	698	1368
338	699	1364
339	700	1360
340	701	1356
341	702	1352
342	703	1348
343	704	1344
344	705	1340
345	707	1336
346	708	1332
347	709	1329
348	710	1326
349	712	1322
350	713	1319
351	714	1315
352	715	1311
353	716	1308
354	717	1304
355	718	1300
356	720	1296
357	721	1293
358	722	1289
359	723	1286
360	725	1283
361	726	1280
362	727	1277
363	729	1274
364	730	1271
365	731	1267
366	732	1264
367	734	1260
368	735	1257
369	736	1253
370	738	1251
371	739	1248
372	741	1245
373	742	1242
374	743	1239
375	745	1236
376	746	1233
377	748	1231
378	750	1229
379	751	1226
380	754	1225
381	755	1222
382	756	1219
383	758	1216
384	759	1213
385	760	1210
386	761	1206
387	763	1203
388	764	1200
389	765	1197
390	766	1194
391	768	1192
392	770	1189
393	771	1186
394	772	1183
395	773	1180
396	775	1177
397	776	1174
398	777	1171
399	778	1168
400	780	1165
401	781	1162
402	782	1159
403	784	1156
404	785	1154
405	786	1150
406	787	1148
407	789	1145
408	790	1142
409	791	1139
410	792	1136
411	794	1133
412	795	1130
413	796	1127
414	798	1125
415	799	1122
416	801	1119
417	802	1117
418	803	1114
419	804	1111
420	805	1108
421	807	1105
422	808	1103
423	809	1100
424	810	1097
425	812	1094
426	814	1092
427	815	1089
428	816	1087
429	817	1084
430	819	1081
431	820	1079
432	822	1076
433	823	1073
434	824	1071
435	825	1068
436	827	1065
437	828	1063
438	830	1060
439	831	1058
440	832	1055
441	833	1052
442	834	1049
443	836	1047
444	837	1044
445	838	1041
446	840	1039
447	841	1036
448	842	1034
449	844	1031
450	845	1029
451	846	1026
452	848	1024
453	849	1021
454	851	1019
455	852	1017
456	853	1014
457	855	1011
458	857	1010
459	858	1008
460	860	1005
461	862	1004
462	863	1001
463	865	999
464	866	997
465	867	994
466	869	992
467	870	989
468	873	988
469	874	986
470	876	984
471	878	983
472	880	980
473	881	978
474	882	975
475	883	972
476	884	970
477	886	967
478	887	965
479	889	963
480	890	960
481	891	957
482	892	955
483	894	953
484	895	950
485	896	948
486	897	945
487	898	943
488	900	940
489	901	938
490	903	936
491	904	933
492	905	931
493	906	928
494	908	926
495	909	923
496	910	921
