iter	Passed	Remaining
0	187	187757
1	190	94839
2	192	64123
3	196	48860
4	198	39486
5	201	33313
6	203	28871
7	206	25642
8	209	23054
9	211	20945
10	214	19255
11	216	17815
12	218	16600
13	221	15585
14	223	14682
15	225	13894
16	228	13198
17	230	12578
18	232	12008
19	235	11548
20	238	11096
21	242	10779
22	244	10406
23	247	10047
24	250	9785
25	256	9615
26	258	9326
27	261	9074
28	263	8837
29	266	8607
30	268	8400
31	271	8200
32	273	8018
33	275	7835
34	278	7665
35	280	7509
36	282	7345
37	283	7187
38	285	7037
39	287	6893
40	288	6756
41	290	6622
42	292	6502
43	293	6383
44	295	6267
45	296	6155
46	298	6049
47	299	5948
48	301	5851
49	304	5793
50	308	5741
51	310	5657
52	311	5572
53	313	5491
54	314	5410
55	316	5331
56	317	5260
57	321	5220
58	322	5151
59	324	5083
60	326	5026
61	328	4965
62	329	4904
63	331	4845
64	333	4792
65	336	4764
66	338	4714
67	340	4666
68	342	4617
69	343	4567
70	345	4525
71	348	4487
72	350	4447
73	352	4407
74	354	4370
75	357	4349
76	359	4310
77	361	4270
78	364	4243
79	366	4213
80	368	4179
81	370	4147
82	371	4103
83	373	4069
84	374	4035
85	376	4001
86	378	3968
87	379	3937
88	381	3905
89	382	3871
90	384	3842
91	386	3811
92	387	3780
93	389	3749
94	390	3720
95	392	3691
96	393	3666
97	395	3639
98	396	3610
99	398	3583
100	399	3559
101	401	3533
102	403	3509
103	404	3484
104	405	3459
105	407	3434
106	408	3412
107	410	3391
108	411	3367
109	413	3344
110	414	3321
111	416	3298
112	417	3278
113	419	3258
114	420	3237
115	422	3218
116	423	3196
117	424	3176
118	426	3156
119	427	3137
120	429	3118
121	430	3097
122	431	3079
123	433	3061
124	434	3043
125	436	3026
126	437	3008
127	439	2992
128	440	2975
129	441	2957
130	443	2941
131	444	2926
132	446	2910
133	447	2894
134	449	2878
135	450	2863
136	452	2850
137	453	2835
138	455	2820
139	456	2805
140	458	2792
141	459	2777
142	461	2765
143	462	2751
144	464	2738
145	465	2725
146	467	2713
147	469	2700
148	470	2687
149	472	2674
150	474	2667
151	476	2656
152	477	2645
153	479	2632
154	480	2620
155	482	2613
156	485	2605
157	486	2593
158	488	2583
